"REF_DATE","GEO","DGUID","Standard Classification of Goods (SCG)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1958-06","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","120591","","","","0"
"1958-06","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","26463","","","","0"
"1958-06","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","23609","","","t","0"
"1958-06","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","20117","","","","0"
"1958-06","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","25500","","","t","0"
"1958-06","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1986","","","","0"
"1958-06","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2763","","","t","0"
"1958-06","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","22762","","","","0"
"1958-07","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","403","","","t","0"
"1958-07","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1186","","","","0"
"1958-07","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","108159","","","","0"
"1958-07","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","34490","","","","0"
"1958-07","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","27618","","","t","0"
"1958-07","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","18859","","","","0"
"1958-07","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","18389","","","t","0"
"1958-07","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1187","","","","0"
"1958-07","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2683","","","t","0"
"1958-07","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","22177","","","","0"
"1958-08","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","415","","","t","0"
"1958-08","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1304","","","","0"
"1958-08","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","125143","","","","0"
"1958-08","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","20572","","","","0"
"1958-08","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","28403","","","t","0"
"1958-08","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","20618","","","","0"
"1958-08","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","25185","","","t","0"
"1958-08","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1619","","","","0"
"1958-08","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2360","","","t","0"
"1958-08","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24162","","","","0"
"1958-09","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","424","","","t","0"
"1958-09","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1035","","","","0"
"1958-09","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","116608","","","","0"
"1958-09","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","22127","","","","0"
"1958-09","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","25154","","","t","0"
"1958-09","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21099","","","","0"
"1958-09","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","48167","","","t","0"
"1958-09","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2098","","","","0"
"1958-09","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2485","","","t","0"
"1958-09","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24647","","","","0"
"1958-10","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","455","","","t","0"
"1958-10","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1202","","","","0"
"1958-10","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","103972","","","","0"
"1958-10","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","23846","","","","0"
"1958-10","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","20130","","","t","0"
"1958-10","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","22876","","","","0"
