"Date","Good","Scale","Value"
"1978-01","Ammonia, anhydrous, 100%","units ","224204"
"1978-01","Ammonium nitrate, all grades","units ","81432"
"1978-01","Ammonium nitrate phosphate, all grades","units ","12584"
"1978-01","Ammonium phosphate, all grades","units ","106594"
"1978-01","Ammonium sulphate","units ",
"1978-01","Benzene","units ","44741"
"1978-01","Chlorine","units ","74190"
"1978-01","Ethylene","units ","72378"
"1978-01","Fertilizers, mixed","units ","31350"
"1978-01","Formaldehyde, 100% solids basis","units ","5076"
"1978-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","11531"
"1978-01","Sodium chlorate","units ","15559"
"1978-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","72519"
"1978-01","Polyethylene, total","units ","24893"
"1978-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","3606"
"1978-01","Polyvinyl chloride","units ","7979"
"1978-01","Polyesters, unsaturated","units ","1142"
"1978-01","Urea, all grades","units ","120008"
"1978-01","Phosphoric acid, wet process","units ","42636"
"1978-02","Acetylene in cylinders or for delivery by pipeline","thousands","583"
"1978-02","Hydrochloric (muriatic) acid, 100%","units ","11642"
"1978-02","Sulphuric acid, all grades, including oleum, as 100%","units ","316549"
"1978-02","Ammonia, anhydrous, 100%","units ","191216"
"1978-02","Ammonium nitrate, all grades","units ","62733"
"1978-02","Ammonium nitrate phosphate, all grades","units ","15711"
"1978-02","Ammonium phosphate, all grades","units ","94554"
"1978-02","Ammonium sulphate","units ",
"1978-02","Benzene","units ","41664"
"1978-02","Chlorine","units ","77051"
"1978-02","Ethylene","units ","58868"
"1978-02","Fertilizers, mixed","units ","43528"
"1978-02","Formaldehyde, 100% solids basis","units ","6841"
"1978-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","11623"
"1978-02","Sodium chlorate","units ","14286"
"1978-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","76853"
"1978-02","Polyethylene, total","units ","34453"
"1978-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","4935"
"1978-02","Polyvinyl chloride","units ","9201"
"1978-02","Polyesters, unsaturated","units ","1415"
"1978-02","Urea, all grades","units ","106778"
"1978-02","Phosphoric acid, wet process","units ","39316"
"1978-03","Acetylene in cylinders or for delivery by pipeline","thousands","631"
"1978-03","Hydrochloric (muriatic) acid, 100%","units ","13235"
"1978-03","Sulphuric acid, all grades, including oleum, as 100%","units ","328287"
"1978-03","Ammonia, anhydrous, 100%","units ","196608"
"1978-03","Ammonium nitrate, all grades","units ","81474"
"1978-03","Ammonium nitrate phosphate, all grades","units ",
"1978-03","Ammonium phosphate, all grades","units ","119863"
"1978-03","Ammonium sulphate","units ",
"1978-03","Benzene","units ","48586"
"1978-03","Chlorine","units ","77660"
"1978-03","Ethylene","units ","60744"
"1978-03","Fertilizers, mixed","units ","70348"
"1978-03","Formaldehyde, 100% solids basis","units ","6885"
"1978-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","13421"
"1978-03","Sodium chlorate","units ","18462"
"1978-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","87271"
"1978-03","Polyethylene, total","units ","35359"
"1978-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","6229"
"1978-03","Polyvinyl chloride","units ","10002"
"1978-03","Polyesters, unsaturated","units ","1868"
"1978-03","Urea, all grades","units ","113964"
"1978-03","Phosphoric acid, wet process","units ","44176"
"1978-04","Acetylene in cylinders or for delivery by pipeline","thousands","567"
"1978-04","Hydrochloric (muriatic) acid, 100%","units ","12366"
"1978-04","Sulphuric acid, all grades, including oleum, as 100%","units ","308954"
"1978-04","Ammonia, anhydrous, 100%","units ","219576"
"1978-04","Ammonium nitrate, all grades","units ","81834"
"1978-04","Ammonium nitrate phosphate, all grades","units ",
"1978-04","Ammonium phosphate, all grades","units ","111262"
"1978-04","Ammonium sulphate","units ",
"1978-04","Benzene","units ","40418"
"1978-04","Chlorine","units ","78765"
"1978-04","Ethylene","units ","62088"
"1978-04","Fertilizers, mixed","units ","99768"
"1978-04","Formaldehyde, 100% solids basis","units ",
"1978-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","12906"
"1978-04","Sodium chlorate","units ","15329"
"1978-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","88520"
"1978-04","Polyethylene, total","units ","31730"
"1978-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","5759"
"1978-04","Polyvinyl chloride","units ","11142"
"1978-04","Polyesters, unsaturated","units ","1944"
"1978-04","Urea, all grades","units ","118517"
"1978-04","Phosphoric acid, wet process","units ","47873"
"1978-05","Acetylene in cylinders or for delivery by pipeline","thousands","617"
"1978-05","Hydrochloric (muriatic) acid, 100%","units ","12531"
"1978-05","Sulphuric acid, all grades, including oleum, as 100%","units ","283457"
"1978-05","Ammonia, anhydrous, 100%","units ","195083"
"1978-05","Ammonium nitrate, all grades","units ","80658"
"1978-05","Ammonium nitrate phosphate, all grades","units ",
"1978-05","Ammonium phosphate, all grades","units ","104937"
"1978-05","Ammonium sulphate","units ",
"1978-05","Benzene","units ","46055"
"1978-05","Chlorine","units ","75294"
"1978-05","Ethylene","units ","66157"
"1978-05","Fertilizers, mixed","units ","211260"
"1978-05","Formaldehyde, 100% solids basis","units ","7072"
"1978-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","13291"
"1978-05","Sodium chlorate","units ","14764"
"1978-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","84343"
"1978-05","Polyethylene, total","units ","32176"
"1978-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","5850"
"1978-05","Polyvinyl chloride","units ","12024"
"1978-05","Polyesters, unsaturated","units ","1730"
"1978-05","Urea, all grades","units ","111474"
"1978-05","Phosphoric acid, wet process","units ","14764"
"1978-06","Acetylene in cylinders or for delivery by pipeline","thousands","623"
"1978-06","Hydrochloric (muriatic) acid, 100%","units ","13798"
"1978-06","Sulphuric acid, all grades, including oleum, as 100%","units ","247867"
"1978-06","Ammonia, anhydrous, 100%","units ","142804"
"1978-06","Ammonium nitrate, all grades","units ","67555"
"1978-06","Ammonium nitrate phosphate, all grades","units ",
"1978-06","Ammonium phosphate, all grades","units ","63713"
"1978-06","Ammonium sulphate","units ",
"1978-06","Benzene","units ","45431"
"1978-06","Chlorine","units ","80420"
"1978-06","Ethylene","units ","71458"
"1978-06","Fertilizers, mixed","units ","98764"
"1978-06","Formaldehyde, 100% solids basis","units ","6652"
"1978-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","13975"
"1978-06","Sodium chlorate","units ","17243"
"1978-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","88858"
"1978-06","Polyethylene, total","units ","37299"
"1978-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","6728"
"1978-06","Polyvinyl chloride","units ","11053"
"1978-06","Polyesters, unsaturated","units ","1859"
"1978-06","Urea, all grades","units ","58973"
"1978-06","Phosphoric acid, wet process","units ","39463"
"1978-07","Acetylene in cylinders or for delivery by pipeline","thousands","510"
"1978-07","Hydrochloric (muriatic) acid, 100%","units ","12626"
"1978-07","Sulphuric acid, all grades, including oleum, as 100%","units ","252568"
"1978-07","Ammonia, anhydrous, 100%","units ","202653"
"1978-07","Ammonium nitrate, all grades","units ","75033"
"1978-07","Ammonium nitrate phosphate, all grades","units ",
"1978-07","Ammonium phosphate, all grades","units ","108568"
"1978-07","Ammonium sulphate","units ",
"1978-07","Benzene","units ","52291"
"1978-07","Chlorine","units ","81485"
"1978-07","Ethylene","units ","75754"
"1978-07","Fertilizers, mixed","units ","12251"
"1978-07","Formaldehyde, 100% solids basis","units ","4486"
"1978-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","10684"
"1978-07","Sodium chlorate","units ","15033"
"1978-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","89139"
"1978-07","Polyethylene, total","units ","38479"
"1978-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9092"
"1978-07","Polyvinyl chloride","units ","9436"
"1978-07","Polyesters, unsaturated","units ","1577"
"1978-07","Urea, all grades","units ","96810"
"1978-07","Phosphoric acid, wet process","units ","54145"
"1978-08","Acetylene in cylinders or for delivery by pipeline","thousands","509"
"1978-08","Hydrochloric (muriatic) acid, 100%","units ","13103"
"1978-08","Sulphuric acid, all grades, including oleum, as 100%","units ","203734"
"1978-08","Ammonia, anhydrous, 100%","units ","211397"
"1978-08","Ammonium nitrate, all grades","units ","66525"
"1978-08","Ammonium nitrate phosphate, all grades","units ",
"1978-08","Ammonium phosphate, all grades","units ","84950"
"1978-08","Ammonium sulphate","units ",
"1978-08","Benzene","units ","49918"
"1978-08","Chlorine","units ","73868"
"1978-08","Ethylene","units ","81071"
"1978-08","Fertilizers, mixed","units ","8371"
"1978-08","Formaldehyde, 100% solids basis","units ","5537"
"1978-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","11181"
"1978-08","Sodium chlorate","units ","15746"
"1978-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","82773"
"1978-08","Polyethylene, total","units ","38117"
"1978-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","6029"
"1978-08","Polyvinyl chloride","units ","10713"
"1978-08","Polyesters, unsaturated","units ","1365"
"1978-08","Urea, all grades","units ","118179"
"1978-08","Phosphoric acid, wet process","units ","42249"
"1978-09","Acetylene in cylinders or for delivery by pipeline","thousands","616"
"1978-09","Hydrochloric (muriatic) acid, 100%","units ","13484"
"1978-09","Sulphuric acid, all grades, including oleum, as 100%","units ","243967"
"1978-09","Ammonia, anhydrous, 100%","units ","187137"
"1978-09","Ammonium nitrate, all grades","units ","57641"
"1978-09","Ammonium nitrate phosphate, all grades","units ",
"1978-09","Ammonium phosphate, all grades","units ","98407"
"1978-09","Ammonium sulphate","units ",
"1978-09","Benzene","units ","41509"
"1978-09","Chlorine","units ","78650"
"1978-09","Ethylene","units ","47682"
"1978-09","Fertilizers, mixed","units ","17767"
"1978-09","Formaldehyde, 100% solids basis","units ","4278"
"1978-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","11140"
"1978-09","Sodium chlorate","units ","18886"
"1978-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","89273"
"1978-09","Polyethylene, total","units ","58614"
"1978-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7653"
"1978-09","Polyvinyl chloride","units ","11015"
"1978-09","Polyesters, unsaturated","units ","1619"
"1978-09","Urea, all grades","units ","78110"
"1978-09","Phosphoric acid, wet process","units ","42503"
"1978-10","Acetylene in cylinders or for delivery by pipeline","thousands","619"
"1978-10","Hydrochloric (muriatic) acid, 100%","units ","12955"
"1978-10","Sulphuric acid, all grades, including oleum, as 100%","units ","285391"
"1978-10","Ammonia, anhydrous, 100%","units ","194263"
"1978-10","Ammonium nitrate, all grades","units ","81227"
"1978-10","Ammonium nitrate phosphate, all grades","units ",
"1978-10","Ammonium phosphate, all grades","units ","105252"
"1978-10","Ammonium sulphate","units ","18282"
"1978-10","Benzene","units ","36355"
"1978-10","Chlorine","units ","82912"
"1978-10","Ethylene","units ","69379"
"1978-10","Fertilizers, mixed","units ","17932"
"1978-10","Formaldehyde, 100% solids basis","units ","6569"
"1978-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","14355"
"1978-10","Sodium chlorate","units ","16503"
"1978-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","94048"
"1978-10","Polyethylene, total","units ","47027"
"1978-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10064"
"1978-10","Polyvinyl chloride","units ","11601"
"1978-10","Polyesters, unsaturated","units ","1725"
"1978-10","Urea, all grades","units ","85225"
"1978-10","Phosphoric acid, wet process","units ","35133"
"1978-11","Acetylene in cylinders or for delivery by pipeline","thousands","653"
"1978-11","Hydrochloric (muriatic) acid, 100%","units ","12312"
"1978-11","Sulphuric acid, all grades, including oleum, as 100%","units ","257352"
"1978-11","Ammonia, anhydrous, 100%","units ","178554"
"1978-11","Ammonium nitrate, all grades","units ","80026"
"1978-11","Ammonium nitrate phosphate, all grades","units ",
"1978-11","Ammonium phosphate, all grades","units ","87654"
"1978-11","Ammonium sulphate","units ",
"1978-11","Benzene","units ","52888"
"1978-11","Chlorine","units ","75791"
"1978-11","Ethylene","units ","81716"
"1978-11","Fertilizers, mixed","units ","14801"
"1978-11","Formaldehyde, 100% solids basis","units ","6543"
"1978-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","14295"
"1978-11","Sodium chlorate","units ","16789"
"1978-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","87330"
"1978-11","Polyethylene, total","units ","48233"
"1978-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9280"
"1978-11","Polyvinyl chloride","units ","23949"
"1978-11","Polyesters, unsaturated","units ",
"1978-11","Urea, all grades","units ","97995"
"1978-11","Phosphoric acid, wet process","units ","37594"
"1978-12","Acetylene in cylinders or for delivery by pipeline","thousands","632"
"1978-12","Hydrochloric (muriatic) acid, 100%","units ","14726"
"1978-12","Sulphuric acid, all grades, including oleum, as 100%","units ","252877"
"1978-12","Ammonia, anhydrous, 100%","units ","199779"
"1978-12","Ammonium nitrate, all grades","units ","78276"
"1978-12","Ammonium nitrate phosphate, all grades","units ",
"1978-12","Ammonium phosphate, all grades","units ","116441"
"1978-12","Ammonium sulphate","units ",
"1978-12","Benzene","units ","55218"
"1978-12","Chlorine","units ","84625"
"1978-12","Ethylene","units ","78464"
"1978-12","Fertilizers, mixed","units ","47345"
"1978-12","Formaldehyde, 100% solids basis","units ","6615"
"1978-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","13783"
"1978-12","Sodium chlorate","units ","19758"
"1978-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","95299"
"1978-12","Polyethylene, total","units ","51244"
"1978-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7249"
"1978-12","Polyvinyl chloride","units ","8827"
"1978-12","Polyesters, unsaturated","units ","1955"
"1978-12","Urea, all grades","units ","111135"
"1978-12","Phosphoric acid, wet process","units ","42248"
"1979-01","Hydrochloric (muriatic) acid, 100%","units ","13007"
"1979-01","Sulphuric acid, all grades, including oleum, as 100%","units ","278464"
"1979-01","Ammonia, anhydrous, 100%","units ","215314"
"1979-01","Ammonium nitrate, all grades","units ","88035"
"1979-01","Ammonium nitrate phosphate, all grades","units ","15858"
"1979-01","Ammonium phosphate, all grades","units ","107045"
"1979-01","Ammonium sulphate","units ",
"1979-01","Benzene","units ","56742"
"1979-01","Chlorine","units ","77294"
"1979-01","Ethylene","units ","79634"
"1979-01","Formaldehyde, 100% solids basis","units ","6181"
"1979-01","Sodium chlorate","units ","19416"
"1979-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","86986"
"1979-01","Polyethylene, total","units ","62882"
"1979-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9489"
"1979-01","Polyvinyl chloride","units ","9874"
"1979-01","Polyesters, unsaturated","units ","2330"
"1979-01","Urea, all grades","units ","112599"
"1979-01","Phosphoric acid, wet process","units ","62040"
"1979-02","Hydrochloric (muriatic) acid, 100%","units ","12905"
"1979-02","Sulphuric acid, all grades, including oleum, as 100%","units ","258808"
"1979-02","Ammonia, anhydrous, 100%","units ","176225"
"1979-02","Ammonium nitrate, all grades","units ","79092"
"1979-02","Ammonium nitrate phosphate, all grades","units ","15805"
"1979-02","Ammonium phosphate, all grades","units ","107844"
"1979-02","Ammonium sulphate","units ",
"1979-02","Benzene","units ","46142"
"1979-02","Chlorine","units ","76756"
"1979-02","Ethylene","units ","58866"
"1979-02","Formaldehyde, 100% solids basis","units ","8359"
"1979-02","Sodium chlorate","units ","22939"
"1979-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","86760"
"1979-02","Polyethylene, total","units ","55011"
"1979-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10944"
"1979-02","Polyvinyl chloride","units ","10332"
"1979-02","Polyesters, unsaturated","units ","2166"
"1979-02","Urea, all grades","units ","90945"
"1979-02","Phosphoric acid, wet process","units ","57719"
"1979-03","Hydrochloric (muriatic) acid, 100%","units ","13708"
"1979-03","Sulphuric acid, all grades, including oleum, as 100%","units ","283980"
"1979-03","Ammonia, anhydrous, 100%","units ","191016"
"1979-03","Ammonium nitrate, all grades","units ","85758"
"1979-03","Ammonium nitrate phosphate, all grades","units ","21368"
"1979-03","Ammonium phosphate, all grades","units ","113515"
"1979-03","Ammonium sulphate","units ",
"1979-03","Benzene","units ","58339"
"1979-03","Chlorine","units ","64046"
"1979-03","Ethylene","units ","70244"
"1979-03","Formaldehyde, 100% solids basis","units ","7657"
"1979-03","Sodium chlorate","units ","21628"
"1979-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","97363"
"1979-03","Polyethylene, total","units ","64013"
"1979-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9289"
"1979-03","Polyvinyl chloride","units ","10883"
"1979-03","Polyesters, unsaturated","units ","2136"
"1979-03","Urea, all grades","units ","91941"
"1979-03","Phosphoric acid, wet process","units ","64220"
"1979-04","Hydrochloric (muriatic) acid, 100%","units ","14668"
"1979-04","Sulphuric acid, all grades, including oleum, as 100%","units ","304843"
"1979-04","Ammonia, anhydrous, 100%","units ","185099"
"1979-04","Ammonium nitrate, all grades","units ","82826"
"1979-04","Ammonium nitrate phosphate, all grades","units ","20207"
"1979-04","Ammonium phosphate, all grades","units ","115994"
"1979-04","Ammonium sulphate","units ",
"1979-04","Benzene","units ","60165"
"1979-04","Chlorine","units ","89357"
"1979-04","Ethylene","units ","71375"
"1979-04","Formaldehyde, 100% solids basis","units ","6483"
"1979-04","Sodium chlorate","units ","18741"
"1979-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","99349"
"1979-04","Polyethylene, total","units ","50383"
"1979-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9498"
"1979-04","Polyvinyl chloride","units ","12835"
"1979-04","Polyesters, unsaturated","units ","2274"
"1979-04","Urea, all grades","units ","94398"
"1979-04","Phosphoric acid, wet process","units ","66721"
"1979-05","Hydrochloric (muriatic) acid, 100%","units ","11792"
"1979-05","Sulphuric acid, all grades, including oleum, as 100%","units ","288979"
"1979-05","Ammonia, anhydrous, 100%","units ","195169"
"1979-05","Ammonium nitrate, all grades","units ","76353"
"1979-05","Ammonium nitrate phosphate, all grades","units ","21496"
"1979-05","Ammonium phosphate, all grades","units ","112188"
"1979-05","Ammonium sulphate","units ",
"1979-05","Benzene","units ","62304"
"1979-05","Chlorine","units ","83703"
"1979-05","Ethylene","units ","81985"
"1979-05","Formaldehyde, 100% solids basis","units ",
"1979-05","Sodium chlorate","units ","17314"
"1979-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","93879"
"1979-05","Polyethylene, total","units ","48935"
"1979-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7676"
"1979-05","Polyvinyl chloride","units ","13677"
"1979-05","Polyesters, unsaturated","units ","2877"
"1979-05","Urea, all grades","units ","98128"
"1979-05","Phosphoric acid, wet process","units ","70201"
"1979-06","Hydrochloric (muriatic) acid, 100%","units ","13150"
"1979-06","Sulphuric acid, all grades, including oleum, as 100%","units ","252175"
"1979-06","Ammonia, anhydrous, 100%","units ","181257"
"1979-06","Ammonium nitrate, all grades","units ","61245"
"1979-06","Ammonium nitrate phosphate, all grades","units ","3038"
"1979-06","Ammonium phosphate, all grades","units ","94094"
"1979-06","Ammonium sulphate","units ",
"1979-06","Benzene","units ","69068"
"1979-06","Chlorine","units ","86720"
"1979-06","Ethylene","units ","82775"
"1979-06","Formaldehyde, 100% solids basis","units ",
"1979-06","Sodium chlorate","units ","21401"
"1979-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","97101"
"1979-06","Polyethylene, total","units ","56860"
"1979-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10746"
"1979-06","Polyvinyl chloride","units ","13843"
"1979-06","Polyesters, unsaturated","units ","2653"
"1979-06","Urea, all grades","units ","87628"
"1979-06","Phosphoric acid, wet process","units ","52989"
"1979-07","Hydrochloric (muriatic) acid, 100%","units ","10754"
"1979-07","Sulphuric acid, all grades, including oleum, as 100%","units ","301232"
"1979-07","Ammonia, anhydrous, 100%","units ","195910"
"1979-07","Ammonium nitrate, all grades","units ","57656"
"1979-07","Ammonium nitrate phosphate, all grades","units ",
"1979-07","Ammonium phosphate, all grades","units ","111244"
"1979-07","Ammonium sulphate","units ",
"1979-07","Benzene","units ","65377"
"1979-07","Chlorine","units ","86079"
"1979-07","Ethylene","units ","87967"
"1979-07","Formaldehyde, 100% solids basis","units ","5823"
"1979-07","Sodium chlorate","units ","19265"
"1979-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","95489"
"1979-07","Polyethylene, total","units ","48187"
"1979-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","8931"
"1979-07","Polyvinyl chloride","units ","13231"
"1979-07","Polyesters, unsaturated","units ","1948"
"1979-07","Urea, all grades","units ","68849"
"1979-07","Phosphoric acid, wet process","units ","53383"
"1979-08","Hydrochloric (muriatic) acid, 100%","units ","12527"
"1979-08","Sulphuric acid, all grades, including oleum, as 100%","units ","285148"
"1979-08","Ammonia, anhydrous, 100%","units ","214227"
"1979-08","Ammonium nitrate, all grades","units ","86686"
"1979-08","Ammonium nitrate phosphate, all grades","units ",
"1979-08","Ammonium phosphate, all grades","units ","112932"
"1979-08","Ammonium sulphate","units ",
"1979-08","Benzene","units ","63203"
"1979-08","Chlorine","units ","82917"
"1979-08","Ethylene","units ","97877"
"1979-08","Formaldehyde, 100% solids basis","units ","6860"
"1979-08","Sodium chlorate","units ","18281"
"1979-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","92180"
"1979-08","Polyethylene, total","units ","51802"
"1979-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","11359"
"1979-08","Polyvinyl chloride","units ","14018"
"1979-08","Polyesters, unsaturated","units ","1724"
"1979-08","Urea, all grades","units ","115738"
"1979-08","Phosphoric acid, wet process","units ","50476"
"1979-09","Hydrochloric (muriatic) acid, 100%","units ","13081"
"1979-09","Sulphuric acid, all grades, including oleum, as 100%","units ","315106"
"1979-09","Ammonia, anhydrous, 100%","units ","192820"
"1979-09","Ammonium nitrate, all grades","units ","61345"
"1979-09","Ammonium nitrate phosphate, all grades","units ","9222"
"1979-09","Ammonium phosphate, all grades","units ","105896"
"1979-09","Ammonium sulphate","units ",
"1979-09","Benzene","units ","55644"
"1979-09","Chlorine","units ","85530"
"1979-09","Ethylene","units ","98313"
"1979-09","Formaldehyde, 100% solids basis","units ",
"1979-09","Sodium chlorate","units ","19210"
"1979-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","86806"
"1979-09","Polyethylene, total","units ","60520"
"1979-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","9596"
"1979-09","Polyvinyl chloride","units ","13775"
"1979-09","Polyesters, unsaturated","units ","2527"
"1979-09","Urea, all grades","units ","105445"
"1979-09","Phosphoric acid, wet process","units ","66247"
"1979-10","Hydrochloric (muriatic) acid, 100%","units ","12869"
"1979-10","Sulphuric acid, all grades, including oleum, as 100%","units ","364178"
"1979-10","Ammonia, anhydrous, 100%","units ","210063"
"1979-10","Ammonium nitrate, all grades","units ","74398"
"1979-10","Ammonium nitrate phosphate, all grades","units ","11231"
"1979-10","Ammonium phosphate, all grades","units ","108315"
"1979-10","Ammonium sulphate","units ",
"1979-10","Benzene","units ","56603"
"1979-10","Chlorine","units ","88659"
"1979-10","Ethylene","units ","85409"
"1979-10","Formaldehyde, 100% solids basis","units ","7195"
"1979-10","Sodium chlorate","units ","19222"
"1979-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","93079"
"1979-10","Polyethylene, total","units ","53012"
"1979-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10594"
"1979-10","Polyvinyl chloride","units ","15679"
"1979-10","Polyesters, unsaturated","units ","2496"
"1979-10","Urea, all grades","units ","111961"
"1979-10","Phosphoric acid, wet process","units ","62614"
"1979-11","Hydrochloric (muriatic) acid, 100%","units ","11990"
"1979-11","Sulphuric acid, all grades, including oleum, as 100%","units ","365898"
"1979-11","Ammonia, anhydrous, 100%","units ","224856"
"1979-11","Ammonium nitrate, all grades","units ","82176"
"1979-11","Ammonium nitrate phosphate, all grades","units ",
"1979-11","Ammonium phosphate, all grades","units ","118443"
"1979-11","Ammonium sulphate","units ",
"1979-11","Benzene","units ","53355"
"1979-11","Chlorine","units ","88130"
"1979-11","Ethylene","units ","100221"
"1979-11","Formaldehyde, 100% solids basis","units ","7347"
"1979-11","Sodium chlorate","units ","19010"
"1979-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","98457"
"1979-11","Polyethylene, total","units ","45772"
"1979-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","11279"
"1979-11","Polyvinyl chloride","units ","13968"
"1979-11","Polyesters, unsaturated","units ","2311"
"1979-11","Urea, all grades","units ","123002"
"1979-11","Phosphoric acid, wet process","units ","69468"
"1979-12","Hydrochloric (muriatic) acid, 100%","units ","13918"
"1979-12","Sulphuric acid, all grades, including oleum, as 100%","units ","367269"
"1979-12","Ammonia, anhydrous, 100%","units ","223340"
"1979-12","Ammonium nitrate, all grades","units ","78929"
"1979-12","Ammonium nitrate phosphate, all grades","units ",
"1979-12","Ammonium phosphate, all grades","units ","128162"
"1979-12","Ammonium sulphate","units ",
"1979-12","Benzene","units ","60069"
"1979-12","Chlorine","units ","99252"
"1979-12","Ethylene","units ","88313"
"1979-12","Formaldehyde, 100% solids basis","units ","6653"
"1979-12","Sodium chlorate","units ","19684"
"1979-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","110881"
"1979-12","Polyethylene, total","units ","50728"
"1979-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","7987"
"1979-12","Polyvinyl chloride","units ",
"1979-12","Polyesters, unsaturated","units ","1724"
"1979-12","Urea, all grades","units ","111042"
"1979-12","Phosphoric acid, wet process","units ","71617"
"1980-01","Hydrochloric (muriatic) acid, 100%","units ","12636"
"1980-01","Sulphuric acid, all grades, including oleum, as 100%","units ","373208"
"1980-01","Ammonia, anhydrous, 100%","units ","238645"
"1980-01","Ammonium nitrate, all grades","units ","85017"
"1980-01","Ammonium nitrate phosphate, all grades","units ","14693"
"1980-01","Ammonium phosphate, all grades","units ","130548"
"1980-01","Ammonium sulphate","units ",
"1980-01","Benzene","units ","52932"
"1980-01","Chlorine","units ","103628"
"1980-01","Ethylene","units ","90173"
"1980-01","Formaldehyde, 100% solids basis","units ","6672"
"1980-01","Sodium chlorate","units ","17918"
"1980-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","115435"
"1980-01","Polyethylene, total","units ","44851"
"1980-01","Polyethylene, low and linear low density","units ","29350"
"1980-01","Polyethylene, high density","units ","15501"
"1980-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10961"
"1980-01","Polyvinyl chloride","units ",
"1980-01","Polyesters, unsaturated","units ","2300"
"1980-01","Urea, all grades","units ","100082"
"1980-01","Phosphoric acid, wet process","units ","74298"
"1980-01","Butadiene","units ","19278"
"1980-01","Butylene","units ","8469"
"1980-01","Propylene, as propylene in all grades","units ","32398"
"1980-01","Toluene","units ","31490"
"1980-01","Xylene","units ","31674"
"1980-01","Methyl alcohol (methanol)","units ",
"1980-01","Acetone","units ",
"1980-01","Nitric acid, 100 %","units ","48862"
"1980-01","Alcohol propyl, ISO","units ",
"1980-02","Hydrochloric (muriatic) acid, 100%","units ","16393"
"1980-02","Sulphuric acid, all grades, including oleum, as 100%","units ","379910"
