"Date","Good","Scale","Value"
"1958-11","Chlorine","units ","20158"
"1958-11","Fertilizers, mixed","units ","60174"
"1958-11","Formaldehyde, 100% solids basis","units ","1624"
"1958-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","2597"
"1958-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24101"
"1958-12","Acetylene in cylinders or for delivery by pipeline","thousands","434"
"1958-12","Hydrochloric (muriatic) acid, 100%","units ","1368"
"1958-12","Sulphuric acid, all grades, including oleum, as 100%","units ","112125"
"1958-12","Ammonia, anhydrous, 100%","units ","26327"
"1958-12","Ammonium sulphate","units ","22266"
"1958-12","Chlorine","units ","21413"
"1958-12","Fertilizers, mixed","units ","66866"
"1958-12","Formaldehyde, 100% solids basis","units ","2094"
"1958-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","2933"
"1958-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","25055"
"1959-01","Acetylene in cylinders or for delivery by pipeline","thousands","410"
"1959-01","Hydrochloric (muriatic) acid, 100%","units ","1598"
"1959-01","Sulphuric acid, all grades, including oleum, as 100%","units ","119684"
"1959-01","Ammonia, anhydrous, 100%","units ","29597"
"1959-01","Ammonium sulphate","units ","24284"
"1959-01","Chlorine","units ","21357"
"1959-01","Fertilizers, mixed","units ","65992"
"1959-01","Formaldehyde, 100% solids basis","units ","1661"
"1959-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","2930"
"1959-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","25544"
"1959-02","Acetylene in cylinders or for delivery by pipeline","thousands","402"
"1959-02","Hydrochloric (muriatic) acid, 100%","units ","1389"
"1959-02","Sulphuric acid, all grades, including oleum, as 100%","units ","115828"
"1959-02","Ammonia, anhydrous, 100%","units ","28273"
"1959-02","Ammonium sulphate","units ","23160"
"1959-02","Chlorine","units ","19865"
"1959-02","Fertilizers, mixed","units ","89895"
"1959-02","Formaldehyde, 100% solids basis","units ","1654"
"1959-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","2776"
"1959-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","23960"
"1959-03","Acetylene in cylinders or for delivery by pipeline","thousands","421"
"1959-03","Hydrochloric (muriatic) acid, 100%","units ","1841"
"1959-03","Sulphuric acid, all grades, including oleum, as 100%","units ","126906"
"1959-03","Ammonia, anhydrous, 100%","units ","36479"
"1959-03","Ammonium sulphate","units ","27444"
"1959-03","Chlorine","units ","21069"
"1959-03","Fertilizers, mixed","units ","89537"
"1959-03","Formaldehyde, 100% solids basis","units ","1793"
"1959-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","2934"
"1959-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","26571"
"1959-04","Acetylene in cylinders or for delivery by pipeline","thousands","442"
"1959-04","Hydrochloric (muriatic) acid, 100%","units ","1658"
"1959-04","Sulphuric acid, all grades, including oleum, as 100%","units ","125093"
"1959-04","Ammonia, anhydrous, 100%","units ","30331"
"1959-04","Ammonium sulphate","units ","26009"
"1959-04","Chlorine","units ","20739"
