"Year","Commodity","Unit","Value"
"1977","Strawberries fresh","Kilograms per person, per year","0.78"
"1977","Strawberries canned","Kilograms per person, per year","0.04"
"1977","Strawberries frozen","Kilograms per person, per year","0.48"
"1977","Fruits not specified fresh","Kilograms per person, per year","0.14"
"1977","Fruits not specified canned","Kilograms per person, per year",
"1977","Fruits not specified dried","Kilograms per person, per year","1.33"
"1977","Fruits not specified frozen","Kilograms per person, per year","0.04"
"1977","Oranges fresh","Kilograms per person, per year","7.16"
"1977","Orange juice","Litres per person, per year","7.59"
"1977","Lemons fresh","Kilograms per person, per year","0.29"
"1977","Lemon juice","Litres per person, per year","0.16"
"1977","Grapefruits fresh","Kilograms per person, per year","1.16"
"1977","Grapefruit juice","Litres per person, per year","1.13"
"1977","Limes fresh","Kilograms per person, per year","0.04"
"1977","Artichokes fresh","Kilograms per person, per year","0.02"
"1977","Asparagus fresh","Kilograms per person, per year","0.06"
"1977","Asparagus canned","Kilograms per person, per year","0.19"
"1977","Beans green and wax fresh","Kilograms per person, per year","0.34"
"1977","Beans green and wax canned","Kilograms per person, per year","1.19"
"1977","Beans green and wax frozen","Kilograms per person, per year","0.32"
"1977","Beets fresh","Kilograms per person, per year","0.32"
"1977","Beets canned","Kilograms per person, per year","0.31"
"1977","Broccoli fresh","Kilograms per person, per year","0.33"
"1977","Broccoli frozen","Kilograms per person, per year","0.12"
"1977","Brussels sprouts fresh","Kilograms per person, per year","0.06"
"1977","Brussels sprouts frozen","Kilograms per person, per year","0.10"
"1977","Cabbage fresh","Kilograms per person, per year","3.13"
"1977","Carrots fresh","Kilograms per person, per year","3.89"
"1977","Carrots canned","Kilograms per person, per year","0.26"
"1977","Carrots frozen","Kilograms per person, per year","0.42"
"1977","Cauliflower fresh","Kilograms per person, per year","0.33"
"1977","Cauliflower frozen","Kilograms per person, per year","0.06"
"1977","Celery fresh","Kilograms per person, per year","2.20"
"1977","Corn fresh","Kilograms per person, per year","0.49"
"1977","Corn canned","Kilograms per person, per year","1.76"
"1977","Corn frozen","Kilograms per person, per year","0.51"
"1977","Cucumbers fresh","Kilograms per person, per year","0.98"
"1977","Eggplants fresh","Kilograms per person, per year",
"1977","Garlic fresh","Kilograms per person, per year",
"1977","Leeks fresh","Kilograms per person, per year",
"1977","Lettuce fresh","Kilograms per person, per year","5.14"
"1977","Lima beans frozen","Kilograms per person, per year","0.04"
"1977","Mushrooms fresh","Kilograms per person, per year","0.39"
"1977","Mushrooms canned","Kilograms per person, per year","1.02"
"1977","Okra fresh","Kilograms per person, per year",
"1977","Olives fresh","Kilograms per person, per year","0.01"
"1977","Onions and shallots fresh","Kilograms per person, per year","3.17"
"1977","Parsley fresh","Kilograms per person, per year",
"1977","Parsnips fresh","Kilograms per person, per year","0.07"
"1977","Peas fresh","Kilograms per person, per year","0.05"
"1977","Peas canned","Kilograms per person, per year","1.53"
"1977","Peas frozen","Kilograms per person, per year","0.86"
"1977","Peppers fresh","Kilograms per person, per year","0.75"
"1977","Potatoes sweet fresh","Kilograms per person, per year","0.16"
"1977","Potatoes white fresh and processed","Kilograms per person, per year","33.66"
"1977","Pumpkins and squash fresh","Kilograms per person, per year",
"1977","Radishes fresh","Kilograms per person, per year","0.38"
"1977","Rappini fresh","Kilograms per person, per year","0.02"
"1977","Rutabagas and turnips fresh","Kilograms per person, per year","1.21"
"1977","Spinach fresh","Kilograms per person, per year","0.18"
"1977","Spinach frozen","Kilograms per person, per year","0.06"
"1977","Tomatoes fresh","Kilograms per person, per year","3.68"
"1977","Tomatoes canned","Kilograms per person, per year","2.34"
"1977","Tomato juice","Litres per person, per year","3.99"
"1977","Tomatoes, pulp, paste and puree","Kilograms per person, per year","0.95"
"1977","Vegetables not specified fresh","Kilograms per person, per year","0.88"
"1977","Vegetables not specified canned","Kilograms per person, per year","1.03"
"1977","Vegetables not specified frozen","Kilograms per person, per year","0.02"
"1978","Wheat flour","Kilograms per person, per year","53.50"
"1978","Rye flour","Kilograms per person, per year","0.43"
"1978","Oatmeal and rolled oats","Kilograms per person, per year","1.39"
"1978","Pot and pearl barley","Kilograms per person, per year","0.08"
"1978","Corn flour and meal","Kilograms per person, per year","2.00"
"1978","Rice","Kilograms per person, per year","2.76"
"1978","Breakfast food","Kilograms per person, per year","3.07"
"1978","Sugar refined","Kilograms per person, per year","40.12"
"1978","Sugar refined, sugar content","Kilograms per person, per year","40.12"
"1978","Maple sugar","Kilograms per person, per year","0.14"
"1978","Maple sugar, sugar content","Kilograms per person, per year","0.12"
"1978","Honey","Kilograms per person, per year","0.92"
"1978","Honey, sugar content","Kilograms per person, per year","0.72"
"1978","Dry beans","Kilograms per person, per year","1.54"
"1978","Baked and canned beans","Kilograms per person, per year","1.09"
"1978","Dry peas","Kilograms per person, per year","1.46"
"1978","Peanuts","Kilograms per person, per year","2.76"
"1978","Tree nuts","Kilograms per person, per year","0.89"
"1978","Tea","Litres per person, per year","78.72"
"1978","Tea, leaf equivalent","Kilograms per person, per year","1.01"
"1978","Coffee","Litres per person, per year","91.10"
"1978","Coffee, green bean equivalent","Kilograms per person, per year","4.14"
"1978","Cocoa, green bean equivalent","Kilograms per person, per year","1.39"
"1978","Ale, beer, stout and porter, total population","Litres per person, per year","82.44"
"1978","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","108.49"
"1978","Distilled spirits, total population","Litres per person, per year","8.17"
"1978","Distilled spirits, population 15 years old and over","Litres per person, per year","10.75"
"1978","Wines, total population","Litres per person, per year","8.06"
"1978","Wines, population 15 years old and over","Litres per person, per year","10.61"
"1978","Soft drinks","Litres per person, per year","67.58"
"1978","Cheddar cheese","Kilograms per person, per year","1.46"
"1978","Cheddar cheese, milk solids","Kilograms per person, per year","0.92"
"1978","Processed cheese","Kilograms per person, per year","2.92"
"1978","Processed cheese, milk solids","Kilograms per person, per year","1.78"
"1978","Variety cheese","Kilograms per person, per year","3.01"
"1978","Variety cheese, milk solids","Kilograms per person, per year","1.50"
"1978","Cottage cheese","Kilograms per person, per year","1.10"
"1978","Cottage cheese, milk solids","Kilograms per person, per year","0.24"
"1978","Powder skim milk","Kilograms per person, per year","0.90"
"1978","Powder skim milk, milk solids","Kilograms per person, per year","0.87"
"1978","Powder buttermilk","Kilograms per person, per year","0.14"
"1978","Powder buttermilk, milk solids","Kilograms per person, per year","0.14"
"1978","Powder whey","Kilograms per person, per year","1.38"
"1978","Powder whey, milk solids","Kilograms per person, per year","1.33"
"1978","Other whole milk products","Kilograms per person, per year","0.64"
"1978","Other whole milk products, milk solids","Kilograms per person, per year","0.62"
"1978","Concentrated whole milk","Litres per person, per year","4.28"
"1978","Concentrated whole milk, milk solids","Kilograms per person, per year","1.19"
"1978","Sweetened concentrated whole milk","Litres per person, per year","0.37"
"1978","Sweetened concentrated whole milk, milk solids","Kilograms per person, per year","0.11"
"1978","Concentrated skim milk","Litres per person, per year","1.17"
"1978","Concentrated skim milk, milk solids","Kilograms per person, per year","0.26"
"1978","Sweetened concentrated skim milk","Litres per person, per year","0.04"
"1978","Sweetened concentrated skim milk, milk solids","Kilograms per person, per year","0.01"
"1978","Milkshake","Litres per person, per year","0.53"
"1978","Milkshake, milk solids","Kilograms per person, per year","0.18"
"1978","Ice cream","Litres per person, per year","12.00"
"1978","Ice cream, milk solids","Kilograms per person, per year","1.48"
"1978","Sherbet","Litres per person, per year","0.15"
"1978","Sherbet, milk solids","Kilograms per person, per year","0.00"
"1978","Ice milk","Litres per person, per year","0.63"
"1978","Ice milk, milk solids","Kilograms per person, per year","0.06"
"1978","Standard milk 3.25%","Litres per person, per year","41.93"
"1978","Standard milk 3.25%, milk solids","Kilograms per person, per year","5.18"
"1978","Buttermilk","Litres per person, per year","0.62"
"1978","Buttermilk, milk solids","Kilograms per person, per year","0.06"
"1978","Partly skimmed milk 2%","Litres per person, per year","50.37"
"1978","Partly skimmed milk 2%, milk solids","Kilograms per person, per year","5.60"
"1978","Skim milk","Litres per person, per year","3.68"
"1978","Skim milk, milk solids","Kilograms per person, per year","0.36"
"1978","Chocolate and other flavoured milk","Litres per person, per year","3.65"
"1978","Chocolate and other flavoured milk, milk solids","Kilograms per person, per year","0.40"
"1978","Cereal cream 10%","Litres per person, per year","2.46"
"1978","Cereal cream 10%, milk solids","Kilograms per person, per year","0.49"
"1978","Table cream 18%","Litres per person, per year","0.26"
"1978","Table cream 18%, milk solids","Kilograms per person, per year","0.07"
"1978","Whipping cream 32% or 35%","Litres per person, per year","0.55"
"1978","Whipping cream 32% or 35%, milk solids","Kilograms per person, per year","0.21"
"1978","Sour cream","Litres per person, per year","0.35"
"1978","Sour cream, milk solids","Kilograms per person, per year","0.07"
"1978","Yogurt","Litres per person, per year","1.65"
"1978","Yogurt, milk solids","Kilograms per person, per year","0.19"
"1978","Chicken, boneless weight","Kilograms per person, per year","10.64"
"1978","Chicken, eviscerated weight","Kilograms per person, per year","15.69"
"1978","Stewing hen, boneless weight","Kilograms per person, per year","0.82"
"1978","Stewing hen, eviscerated weight","Kilograms per person, per year","1.21"
"1978","Chicken and stewing hen total, boneless weight","Kilograms per person, per year","11.46"
"1978","Chicken and stewing hen total, eviscerated weight","Kilograms per person, per year","16.90"
"1978","Turkey, boneless weight","Kilograms per person, per year","3.21"
"1978","Turkey, eviscerated weight","Kilograms per person, per year","4.07"
"1978","Eggs","Kilograms per person, per year","12.24"
"1978","Pork, carcass weight","Kilograms per person, per year","26.85"
"1978","Pork, boneless weight","Kilograms per person, per year","18.87"
"1978","Pork","Kilograms per person, per year","20.67"
"1978","Beef, carcass weight","Kilograms per person, per year","44.91"
"1978","Beef, boneless weight","Kilograms per person, per year","31.35"
"1978","Beef","Kilograms per person, per year","34.13"
"1978","Veal, carcass weight","Kilograms per person, per year","1.81"
"1978","Veal, boneless weight","Kilograms per person, per year","1.24"
"1978","Veal","Kilograms per person, per year","1.50"
"1978","Beef and veal total, carcass weight","Kilograms per person, per year","46.72"
"1978","Beef and veal total, boneless weight","Kilograms per person, per year","32.59"
"1978","Beef and veal total","Kilograms per person, per year","35.63"
"1978","Mutton and lamb, carcass weight","Kilograms per person, per year","0.85"
"1978","Mutton and lamb, boneless weight","Kilograms per person, per year","0.56"
"1978","Mutton and lamb","Kilograms per person, per year","0.76"
"1978","Offal, carcass weight","Kilograms per person, per year","1.86"
"1978","Offal, boneless weight","Kilograms per person, per year","1.86"
"1978","Offal","Kilograms per person, per year","1.86"
"1978","Butter","Kilograms per person, per year","4.48"
"1978","Butter, milk solids","Kilograms per person, per year","3.58"
"1978","Butter, fat content","Kilograms per person, per year","3.58"
"1978","Margarine","Kilograms per person, per year","5.82"
"1978","Margarine, fat content","Kilograms per person, per year","4.72"
"1978","Salad oils","Kilograms per person, per year","4.17"
"1978","Salad oils, fat content","Kilograms per person, per year","4.17"
"1978","Shortening and shortening oils","Kilograms per person, per year","7.32"
"1978","Shortening and shortening oils, fat content","Kilograms per person, per year","7.32"
"1978","Apples fresh","Kilograms per person, per year","10.55"
"1978","Apples fresh, fresh equivalent","Kilograms per person, per year","10.55"
"1978","Apples canned","Kilograms per person, per year","0.10"
"1978","Apples canned, fresh equivalent","Kilograms per person, per year","0.18"
"1978","Apples dried","Kilograms per person, per year","0.02"
"1978","Apples dried, fresh equivalent","Kilograms per person, per year","0.16"
"1978","Apples frozen","Kilograms per person, per year","0.14"
"1978","Apples frozen, fresh equivalent","Kilograms per person, per year","0.24"
"1978","Apple juice","Kilograms per person, per year","5.82"
"1978","Apple juice, fresh equivalent","Kilograms per person, per year","8.03"
"1978","Apple juice","Litres per person, per year","5.58"
"1978","Apple pie filling","Kilograms per person, per year","0.28"
"1978","Apple pie filling, fresh equivalent","Kilograms per person, per year","0.42"
"1978","Apple sauce","Kilograms per person, per year","0.60"
"1978","Apple sauce, fresh equivalent","Kilograms per person, per year","0.77"
"1978","Apricots fresh","Kilograms per person, per year","0.07"
"1978","Apricots fresh, fresh equivalent","Kilograms per person, per year","0.07"
"1978","Apricots canned","Kilograms per person, per year","0.13"
"1978","Apricots canned, fresh equivalent","Kilograms per person, per year","0.10"
"1978","Avocados fresh","Kilograms per person, per year","0.17"
"1978","Avocados fresh, fresh equivalent","Kilograms per person, per year","0.17"
"1978","Bananas fresh","Kilograms per person, per year","9.86"
"1978","Bananas fresh, fresh equivalent","Kilograms per person, per year","9.86"
"1978","Other fresh berries","Kilograms per person, per year","0.06"
"1978","Other fresh berries, fresh equivalent","Kilograms per person, per year","0.06"
"1978","Blueberries fresh","Kilograms per person, per year","0.14"
"1978","Blueberries fresh, fresh equivalent","Kilograms per person, per year","0.14"
"1978","Blueberries canned","Kilograms per person, per year","0.02"
"1978","Blueberries canned, fresh equivalent","Kilograms per person, per year","0.02"
"1978","Blueberries frozen","Kilograms per person, per year","0.01"
"1978","Blueberries frozen, fresh equivalent","Kilograms per person, per year","0.02"
"1978","Cherries fresh","Kilograms per person, per year","0.44"
"1978","Cherries fresh, fresh equivalent","Kilograms per person, per year","0.44"
"1978","Cherries frozen","Kilograms per person, per year","0.18"
"1978","Cherries frozen, fresh equivalent","Kilograms per person, per year","0.18"
"1978","Coconut fresh","Kilograms per person, per year","0.26"
"1978","Coconut fresh, fresh equivalent","Kilograms per person, per year","0.26"
"1978","Cranberries fresh","Kilograms per person, per year","0.39"
"1978","Cranberries fresh, fresh equivalent","Kilograms per person, per year","0.39"
"1978","Dates fresh","Kilograms per person, per year","2.17"
"1978","Dates fresh, fresh equivalent","Kilograms per person, per year","2.17"
"1978","Figs fresh","Kilograms per person, per year","0.32"
"1978","Figs fresh, fresh equivalent","Kilograms per person, per year","0.32"
"1978","Grapes fresh","Kilograms per person, per year","4.69"
"1978","Grapes fresh, fresh equivalent","Kilograms per person, per year","4.69"
"1978","Grape juice","Kilograms per person, per year","0.57"
"1978","Grape juice, fresh equivalent","Kilograms per person, per year","0.71"
"1978","Grape juice","Litres per person, per year","0.56"
"1978","Melons, musk and cantaloups fresh","Kilograms per person, per year","1.24"
"1978","Melons, musk and cantaloups fresh, fresh equivalent","Kilograms per person, per year","1.24"
"1978","Other fresh melons","Kilograms per person, per year","0.14"
"1978","Other fresh melons, fresh equivalent","Kilograms per person, per year","0.14"
"1978","Watermelons fresh","Kilograms per person, per year","2.91"
"1978","Watermelons fresh, fresh equivalent","Kilograms per person, per year","2.91"
"1978","Wintermelons fresh","Kilograms per person, per year","0.23"
"1978","Wintermelons fresh, fresh equivalent","Kilograms per person, per year","0.23"
"1978","Melons total fresh","Kilograms per person, per year","4.51"
"1978","Melons total fresh, fresh equivalent","Kilograms per person, per year","4.51"
"1978","Nectarines fresh","Kilograms per person, per year","0.68"
"1978","Nectarines fresh, fresh equivalent","Kilograms per person, per year","0.68"
"1978","Peaches fresh","Kilograms per person, per year","2.09"
"1978","Peaches fresh, fresh equivalent","Kilograms per person, per year","2.09"
"1978","Peaches canned","Kilograms per person, per year","1.37"
"1978","Peaches canned, fresh equivalent","Kilograms per person, per year","1.40"
"1978","Pears fresh","Kilograms per person, per year","1.74"
"1978","Pears fresh, fresh equivalent","Kilograms per person, per year","1.74"
"1978","Pears canned","Kilograms per person, per year","0.74"
"1978","Pears canned, fresh equivalent","Kilograms per person, per year","0.83"
"1978","Pineapples fresh","Kilograms per person, per year","0.43"
"1978","Pineapples fresh, fresh equivalent","Kilograms per person, per year","0.43"
"1978","Pineapples canned","Kilograms per person, per year","1.07"
"1978","Pineapples canned, fresh equivalent","Kilograms per person, per year","1.83"
"1978","Pineapple juice","Kilograms per person, per year","0.52"
"1978","Pineapple juice, fresh equivalent","Kilograms per person, per year","0.89"
"1978","Pineapple juice","Litres per person, per year","0.51"
"1978","Plums total fresh","Kilograms per person, per year","1.03"
"1978","Plums total fresh, fresh equivalent","Kilograms per person, per year","1.03"
"1978","Raspberries frozen","Kilograms per person, per year","0.18"
"1978","Raspberries frozen, fresh equivalent","Kilograms per person, per year","0.19"
"1978","Strawberries fresh","Kilograms per person, per year","1.38"
"1978","Strawberries fresh, fresh equivalent","Kilograms per person, per year","1.38"
"1978","Strawberries canned","Kilograms per person, per year","0.04"
"1978","Strawberries canned, fresh equivalent","Kilograms per person, per year","0.03"
"1978","Strawberries frozen","Kilograms per person, per year","0.54"
"1978","Strawberries frozen, fresh equivalent","Kilograms per person, per year","0.48"
"1978","Fruits not specified fresh","Kilograms per person, per year","0.31"
"1978","Fruits not specified fresh, fresh equivalent","Kilograms per person, per year","0.31"
"1978","Fruits not specified canned","Kilograms per person, per year",
"1978","Fruits not specified canned, fresh equivalent","Kilograms per person, per year",
"1978","Fruits not specified dried","Kilograms per person, per year","1.69"
"1978","Fruits not specified dried, fresh equivalent","Kilograms per person, per year","9.78"
"1978","Fruits not specified frozen","Kilograms per person, per year","0.05"
"1978","Fruits not specified frozen, fresh equivalent","Kilograms per person, per year","0.06"
"1978","Oranges fresh","Kilograms per person, per year","10.58"
"1978","Oranges fresh, fresh equivalent","Kilograms per person, per year","10.58"
"1978","Orange juice","Kilograms per person, per year","10.84"
"1978","Orange juice, fresh equivalent","Kilograms per person, per year","19.95"
"1978","Orange juice","Litres per person, per year","10.47"
"1978","Lemons fresh","Kilograms per person, per year","0.84"
"1978","Lemons fresh, fresh equivalent","Kilograms per person, per year","0.84"
"1978","Lemon juice","Kilograms per person, per year","0.17"
"1978","Lemon juice, fresh equivalent","Kilograms per person, per year","0.49"
"1978","Lemon juice","Litres per person, per year","0.16"
"1978","Grapefruits fresh","Kilograms per person, per year","3.81"
"1978","Grapefruits fresh, fresh equivalent","Kilograms per person, per year","3.81"
"1978","Grapefruit juice","Kilograms per person, per year","1.40"
"1978","Grapefruit juice, fresh equivalent","Kilograms per person, per year","2.89"
"1978","Grapefruit juice","Litres per person, per year","1.35"
"1978","Limes fresh","Kilograms per person, per year","0.05"
"1978","Limes fresh, fresh equivalent","Kilograms per person, per year","0.05"
"1978","Artichokes fresh","Kilograms per person, per year","0.06"
"1978","Artichokes fresh, fresh equivalent","Kilograms per person, per year","0.06"
"1978","Asparagus fresh","Kilograms per person, per year","0.15"
"1978","Asparagus fresh, fresh equivalent","Kilograms per person, per year","0.15"
"1978","Asparagus canned","Kilograms per person, per year","0.21"
"1978","Asparagus canned, fresh equivalent","Kilograms per person, per year","0.25"
"1978","Beans green and wax fresh","Kilograms per person, per year","0.56"
"1978","Beans green and wax fresh, fresh equivalent","Kilograms per person, per year","0.56"
"1978","Beans green and wax canned","Kilograms per person, per year","1.58"
"1978","Beans green and wax canned, fresh equivalent","Kilograms per person, per year","1.09"
"1978","Beans green and wax frozen","Kilograms per person, per year","0.43"
"1978","Beans green and wax frozen, fresh equivalent","Kilograms per person, per year","0.51"
"1978","Beets fresh","Kilograms per person, per year","0.49"
"1978","Beets fresh, fresh equivalent","Kilograms per person, per year","0.49"
"1978","Beets canned","Kilograms per person, per year","0.36"
"1978","Beets canned, fresh equivalent","Kilograms per person, per year","0.42"
"1978","Broccoli fresh","Kilograms per person, per year","0.81"
"1978","Broccoli fresh, fresh equivalent","Kilograms per person, per year","0.81"
"1978","Broccoli frozen","Kilograms per person, per year","0.18"
"1978","Broccoli frozen, fresh equivalent","Kilograms per person, per year","0.24"
"1978","Brussels sprouts fresh","Kilograms per person, per year","0.05"
"1978","Brussels sprouts fresh, fresh equivalent","Kilograms per person, per year","0.05"
"1978","Brussels sprouts frozen","Kilograms per person, per year","0.13"
"1978","Brussels sprouts frozen, fresh equivalent","Kilograms per person, per year","0.17"
"1978","Cabbage fresh","Kilograms per person, per year","6.32"
"1978","Cabbage fresh, fresh equivalent","Kilograms per person, per year","6.32"
"1978","Carrots fresh","Kilograms per person, per year","6.67"
"1978","Carrots fresh, fresh equivalent","Kilograms per person, per year","6.67"
"1978","Carrots canned","Kilograms per person, per year","0.33"
"1978","Carrots canned, fresh equivalent","Kilograms per person, per year","0.43"
"1978","Carrots frozen","Kilograms per person, per year","0.55"
"1978","Carrots frozen, fresh equivalent","Kilograms per person, per year","0.99"
"1978","Cauliflower fresh","Kilograms per person, per year","1.50"
"1978","Cauliflower fresh, fresh equivalent","Kilograms per person, per year","1.50"
"1978","Cauliflower frozen","Kilograms per person, per year","0.05"
"1978","Cauliflower frozen, fresh equivalent","Kilograms per person, per year","0.08"
"1978","Celery fresh","Kilograms per person, per year","3.70"
"1978","Celery fresh, fresh equivalent","Kilograms per person, per year","3.70"
"1978","Corn fresh","Kilograms per person, per year","2.41"
"1978","Corn fresh, fresh equivalent","Kilograms per person, per year","2.41"
"1978","Corn canned","Kilograms per person, per year","2.21"
"1978","Corn canned, fresh equivalent","Kilograms per person, per year","5.31"
"1978","Corn frozen","Kilograms per person, per year","0.65"
"1978","Corn frozen, fresh equivalent","Kilograms per person, per year","2.18"
"1978","Cucumbers fresh","Kilograms per person, per year","2.04"
"1978","Cucumbers fresh, fresh equivalent","Kilograms per person, per year","2.04"
"1978","Other edible roots fresh","Kilograms per person, per year","0.00"
"1978","Other edible roots fresh, fresh equivalent","Kilograms per person, per year","0.00"
"1978","Eggplants fresh","Kilograms per person, per year","0.12"
"1978","Eggplants fresh, fresh equivalent","Kilograms per person, per year","0.12"
"1978","Garlic fresh","Kilograms per person, per year","0.05"
"1978","Garlic fresh, fresh equivalent","Kilograms per person, per year","0.05"
"1978","Kohlrabi fresh","Kilograms per person, per year","0.00"
"1978","Kohlrabi fresh, fresh equivalent","Kilograms per person, per year","0.00"
"1978","Leeks fresh","Kilograms per person, per year","0.03"
"1978","Leeks fresh, fresh equivalent","Kilograms per person, per year","0.03"
"1978","Lettuce fresh","Kilograms per person, per year","9.11"
"1978","Lettuce fresh, fresh equivalent","Kilograms per person, per year","9.11"
"1978","Lima beans frozen","Kilograms per person, per year","0.06"
"1978","Lima beans frozen, fresh equivalent","Kilograms per person, per year","0.07"
"1978","Manioc fresh","Kilograms per person, per year","0.00"
"1978","Manioc fresh, fresh equivalent","Kilograms per person, per year","0.00"
"1978","Mushrooms fresh","Kilograms per person, per year","0.69"
"1978","Mushrooms fresh, fresh equivalent","Kilograms per person, per year","0.69"
"1978","Mushrooms canned","Kilograms per person, per year","1.04"
"1978","Mushrooms canned, fresh equivalent","Kilograms per person, per year","0.86"
"1978","Okra fresh","Kilograms per person, per year","0.01"
"1978","Okra fresh, fresh equivalent","Kilograms per person, per year","0.01"
"1978","Olives fresh","Kilograms per person, per year","0.02"
"1978","Olives fresh, fresh equivalent","Kilograms per person, per year","0.02"
"1978","Onions and shallots fresh","Kilograms per person, per year","6.81"
"1978","Onions and shallots fresh, fresh equivalent","Kilograms per person, per year","6.81"
"1978","Parsley fresh","Kilograms per person, per year","0.06"
"1978","Parsley fresh, fresh equivalent","Kilograms per person, per year","0.06"
"1978","Parsnips fresh","Kilograms per person, per year","0.22"
"1978","Parsnips fresh, fresh equivalent","Kilograms per person, per year","0.22"
"1978","Peas fresh","Kilograms per person, per year","0.15"
"1978","Peas fresh, fresh equivalent","Kilograms per person, per year","0.15"
"1978","Peas canned","Kilograms per person, per year","1.73"
"1978","Peas canned, fresh equivalent","Kilograms per person, per year","1.26"
"1978","Peas frozen","Kilograms per person, per year","1.20"
"1978","Peas frozen, fresh equivalent","Kilograms per person, per year","1.31"
"1978","Peppers fresh","Kilograms per person, per year","1.41"
"1978","Peppers fresh, fresh equivalent","Kilograms per person, per year","1.41"
"1978","Potatoes sweet fresh","Kilograms per person, per year","0.37"
"1978","Potatoes sweet, fresh equivalent","Kilograms per person, per year","0.37"
"1978","Potatoes white fresh and processed, fresh equivalent","Kilograms per person, per year","70.91"
"1978","Pumpkins and squash fresh","Kilograms per person, per year","0.17"
"1978","Pumpkins and squash fresh, fresh equivalent","Kilograms per person, per year","0.17"
"1978","Radishes fresh","Kilograms per person, per year","0.66"
"1978","Radishes fresh, fresh equivalent","Kilograms per person, per year","0.66"
"1978","Rappini fresh","Kilograms per person, per year","0.05"
"1978","Rappini fresh, fresh equivalent","Kilograms per person, per year","0.05"
"1978","Rutabagas and turnips fresh","Kilograms per person, per year","2.33"
"1978","Rutabagas and turnips fresh, fresh equivalent","Kilograms per person, per year","2.33"
"1978","Spinach fresh","Kilograms per person, per year","0.40"
"1978","Spinach fresh, fresh equivalent","Kilograms per person, per year","0.40"
"1978","Spinach frozen","Kilograms per person, per year","0.08"
"1978","Spinach frozen, fresh equivalent","Kilograms per person, per year","0.11"
"1978","Tomatoes fresh","Kilograms per person, per year","6.25"
"1978","Tomatoes fresh, fresh equivalent","Kilograms per person, per year","6.25"
"1978","Tomatoes canned","Kilograms per person, per year","3.13"
"1978","Tomatoes canned, fresh equivalent","Kilograms per person, per year","5.32"
"1978","Tomato juice","Kilograms per person, per year","4.39"
"1978","Tomato juice, fresh equivalent","Kilograms per person, per year","4.39"
"1978","Tomato juice","Litres per person, per year","4.39"
"1978","Tomatoes, pulp, paste and puree","Kilograms per person, per year","1.38"
"1978","Tomatoes, pulp, paste and puree, fresh equivalent","Kilograms per person, per year","7.45"
"1978","Vegetables not specified fresh","Kilograms per person, per year","0.93"
"1978","Vegetables not specified fresh, fresh equivalent","Kilograms per person, per year","0.93"
"1978","Vegetables not specified canned","Kilograms per person, per year","1.22"
"1978","Vegetables not specified canned, fresh equivalent","Kilograms per person, per year","1.59"
"1978","Vegetables not specified frozen","Kilograms per person, per year","0.04"
"1978","Vegetables not specified frozen, fresh equivalent","Kilograms per person, per year","0.05"
"1978","Wheat flour","Kilograms per person, per year","37.67"
"1978","Rye flour","Kilograms per person, per year","0.30"
"1978","Oatmeal and rolled oats","Kilograms per person, per year","0.78"
"1978","Pot and pearl barley","Kilograms per person, per year","0.05"
"1978","Corn flour and meal","Kilograms per person, per year","1.41"
"1978","Rice","Kilograms per person, per year","1.94"
"1978","Breakfast food","Kilograms per person, per year","2.16"
"1978","Sugar refined","Kilograms per person, per year","28.57"
"1978","Maple sugar","Kilograms per person, per year","0.10"
"1978","Honey","Kilograms per person, per year","0.65"
"1978","Dry beans","Kilograms per person, per year","1.30"
"1978","Baked and canned beans","Kilograms per person, per year","0.92"
"1978","Dry peas","Kilograms per person, per year","1.23"
"1978","Peanuts","Kilograms per person, per year","2.33"
"1978","Tree nuts","Kilograms per person, per year","0.75"
"1978","Tea","Litres per person, per year","66.60"
"1978","Coffee","Litres per person, per year","77.07"
"1978","Cocoa, green bean equivalent","Kilograms per person, per year","1.17"
"1978","Ale, beer, stout and porter, total population","Litres per person, per year","75.97"
"1978","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","99.97"
"1978","Distilled spirits, total population","Litres per person, per year","7.53"
"1978","Distilled spirits, population 15 years old and over","Litres per person, per year","9.90"
"1978","Wines, total population","Litres per person, per year","7.43"
"1978","Wines, population 15 years old and over","Litres per person, per year","9.78"
"1978","Soft drinks","Litres per person, per year","57.17"
"1978","Cheddar cheese","Kilograms per person, per year","1.20"
"1978","Processed cheese","Kilograms per person, per year","2.39"
"1978","Variety cheese","Kilograms per person, per year","2.46"
"1978","Cottage cheese","Kilograms per person, per year","0.78"
"1978","Powder skim milk","Kilograms per person, per year","0.64"
"1978","Powder buttermilk","Kilograms per person, per year","0.10"
"1978","Powder whey","Kilograms per person, per year","0.97"
"1978","Other whole milk products","Kilograms per person, per year","0.45"
"1978","Concentrated whole milk","Litres per person, per year","3.01"
"1978","Sweetened concentrated whole milk","Litres per person, per year","0.26"
"1978","Concentrated skim milk","Litres per person, per year","0.82"
"1978","Sweetened concentrated skim milk","Litres per person, per year","0.03"
"1978","Milkshake","Litres per person, per year","0.37"
"1978","Ice cream","Litres per person, per year","8.45"
"1978","Sherbet","Litres per person, per year","0.10"
"1978","Ice milk","Litres per person, per year","0.45"
"1978","Standard milk 3.25%","Litres per person, per year","29.52"
"1978","Buttermilk","Litres per person, per year","0.44"
"1978","Partly skimmed milk 2%","Litres per person, per year","35.46"
