"Year","Commodity","Unit","Value"
"1960","Apple sauce","Kilograms per person, per year","0.37"
"1960","Apple sauce, fresh equivalent","Kilograms per person, per year","0.51"
"1960","Apricots fresh","Kilograms per person, per year","0.21"
"1960","Apricots fresh, fresh equivalent","Kilograms per person, per year","0.21"
"1960","Apricots canned","Kilograms per person, per year","0.25"
"1960","Apricots canned, fresh equivalent","Kilograms per person, per year","0.15"
"1960","Bananas fresh","Kilograms per person, per year","9.57"
"1960","Bananas fresh, fresh equivalent","Kilograms per person, per year","9.57"
"1960","Blueberries fresh","Kilograms per person, per year","0.15"
"1960","Blueberries fresh, fresh equivalent","Kilograms per person, per year","0.15"
"1960","Blueberries canned","Kilograms per person, per year","0.03"
"1960","Blueberries canned, fresh equivalent","Kilograms per person, per year","0.02"
"1960","Blueberries frozen","Kilograms per person, per year","0.01"
"1960","Blueberries frozen, fresh equivalent","Kilograms per person, per year","0.01"
"1960","Cherries fresh","Kilograms per person, per year","0.25"
"1960","Cherries fresh, fresh equivalent","Kilograms per person, per year","0.25"
"1960","Cherries frozen","Kilograms per person, per year","0.22"
"1960","Cherries frozen, fresh equivalent","Kilograms per person, per year","0.22"
"1960","Coconut fresh","Kilograms per person, per year","0.30"
"1960","Coconut fresh, fresh equivalent","Kilograms per person, per year","0.30"
"1960","Cranberries fresh","Kilograms per person, per year","0.11"
"1960","Cranberries fresh, fresh equivalent","Kilograms per person, per year","0.11"
"1960","Dates fresh","Kilograms per person, per year","3.60"
"1960","Dates fresh, fresh equivalent","Kilograms per person, per year","3.60"
"1960","Figs fresh","Kilograms per person, per year","0.49"
"1960","Figs fresh, fresh equivalent","Kilograms per person, per year","0.49"
"1960","Grapes fresh","Kilograms per person, per year","4.39"
"1960","Grapes fresh, fresh equivalent","Kilograms per person, per year","4.39"
"1960","Melons, musk and cantaloups fresh","Kilograms per person, per year","0.86"
"1960","Melons, musk and cantaloups fresh, fresh equivalent","Kilograms per person, per year","0.86"
"1960","Other fresh melons","Kilograms per person, per year","3.60"
"1960","Other fresh melons, fresh equivalent","Kilograms per person, per year","3.60"
"1960","Melons total fresh","Kilograms per person, per year","4.47"
"1960","Melons total fresh, fresh equivalent","Kilograms per person, per year","4.47"
"1960","Nectarines fresh","Kilograms per person, per year","0.05"
"1960","Nectarines fresh, fresh equivalent","Kilograms per person, per year","0.05"
"1960","Peaches fresh","Kilograms per person, per year","2.50"
"1960","Peaches fresh, fresh equivalent","Kilograms per person, per year","2.50"
"1960","Peaches canned","Kilograms per person, per year","1.85"
"1960","Peaches canned, fresh equivalent","Kilograms per person, per year","1.89"
"1960","Pears fresh","Kilograms per person, per year","1.32"
"1960","Pears fresh, fresh equivalent","Kilograms per person, per year","1.32"
"1960","Pears canned","Kilograms per person, per year","0.76"
"1960","Pears canned, fresh equivalent","Kilograms per person, per year","0.85"
"1960","Pineapples fresh","Kilograms per person, per year","0.19"
"1960","Pineapples fresh, fresh equivalent","Kilograms per person, per year","0.19"
"1960","Pineapples canned","Kilograms per person, per year","0.93"
"1960","Pineapples canned, fresh equivalent","Kilograms per person, per year","1.59"
"1960","Pineapple juice","Kilograms per person, per year","0.42"
"1960","Pineapple juice, fresh equivalent","Kilograms per person, per year","0.71"
"1960","Pineapple juice","Litres per person, per year","0.40"
"1960","Plums total fresh","Kilograms per person, per year","0.82"
"1960","Plums total fresh, fresh equivalent","Kilograms per person, per year","0.82"
"1960","Raspberries frozen","Kilograms per person, per year","0.23"
"1960","Raspberries frozen, fresh equivalent","Kilograms per person, per year","0.25"
"1960","Strawberries fresh","Kilograms per person, per year","0.78"
"1960","Strawberries fresh, fresh equivalent","Kilograms per person, per year","0.78"
"1960","Strawberries canned","Kilograms per person, per year","0.08"
"1960","Strawberries canned, fresh equivalent","Kilograms per person, per year","0.05"
"1960","Strawberries frozen","Kilograms per person, per year","0.40"
"1960","Strawberries frozen, fresh equivalent","Kilograms per person, per year","0.34"
"1960","Fruits not specified fresh","Kilograms per person, per year","0.04"
"1960","Fruits not specified fresh, fresh equivalent","Kilograms per person, per year","0.04"
"1960","Fruits not specified canned","Kilograms per person, per year",
"1960","Fruits not specified canned, fresh equivalent","Kilograms per person, per year",
"1960","Fruits not specified dried","Kilograms per person, per year","2.38"
"1960","Fruits not specified dried, fresh equivalent","Kilograms per person, per year","13.80"
"1960","Fruits not specified frozen","Kilograms per person, per year","0.08"
"1960","Fruits not specified frozen, fresh equivalent","Kilograms per person, per year","0.10"
"1960","Oranges fresh","Kilograms per person, per year","10.07"
"1960","Oranges fresh, fresh equivalent","Kilograms per person, per year","10.07"
"1960","Orange juice","Kilograms per person, per year","4.60"
"1960","Orange juice, fresh equivalent","Kilograms per person, per year","8.46"
"1960","Orange juice","Litres per person, per year","4.44"
"1960","Lemons fresh","Kilograms per person, per year","0.78"
"1960","Lemons fresh, fresh equivalent","Kilograms per person, per year","0.78"
"1960","Lemon juice","Kilograms per person, per year","0.63"
"1960","Lemon juice, fresh equivalent","Kilograms per person, per year","1.89"
"1960","Lemon juice","Litres per person, per year","0.61"
"1960","Grapefruits fresh","Kilograms per person, per year","3.26"
"1960","Grapefruits fresh, fresh equivalent","Kilograms per person, per year","3.26"
"1960","Grapefruit juice","Kilograms per person, per year","0.63"
"1960","Grapefruit juice, fresh equivalent","Kilograms per person, per year","1.29"
"1960","Grapefruit juice","Litres per person, per year","0.60"
"1960","Asparagus fresh","Kilograms per person, per year","0.16"
"1960","Asparagus fresh, fresh equivalent","Kilograms per person, per year","0.16"
"1960","Asparagus canned","Kilograms per person, per year","0.17"
"1960","Asparagus canned, fresh equivalent","Kilograms per person, per year","0.23"
"1960","Beans green and wax fresh","Kilograms per person, per year","0.38"
"1960","Beans green and wax fresh, fresh equivalent","Kilograms per person, per year","0.38"
"1960","Beans green and wax canned","Kilograms per person, per year","1.47"
"1960","Beans green and wax canned, fresh equivalent","Kilograms per person, per year","1.07"
"1960","Beans green and wax frozen","Kilograms per person, per year","0.10"
"1960","Beans green and wax frozen, fresh equivalent","Kilograms per person, per year","0.12"
"1960","Beets fresh","Kilograms per person, per year","0.60"
"1960","Beets fresh, fresh equivalent","Kilograms per person, per year","0.60"
"1960","Beets canned","Kilograms per person, per year","0.29"
"1960","Beets canned, fresh equivalent","Kilograms per person, per year","0.35"
"1960","Brussels sprouts fresh","Kilograms per person, per year",
"1960","Brussels sprouts fresh, fresh equivalent","Kilograms per person, per year",
"1960","Cabbage fresh","Kilograms per person, per year","4.36"
"1960","Cabbage fresh, fresh equivalent","Kilograms per person, per year","4.36"
"1960","Carrots fresh","Kilograms per person, per year","7.98"
